day,year,mo,da,date,Crimes_This_Day,primary_type,location_description,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
4,2019,01,24,2019-01-24,10,BATTERY,"SCHOOL, PUBLIC, BUILDING",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,7,THEFT,PARKING LOT/GARAGE(NON.RESID.),17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL DAMAGE,DRUG STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,OTHER OFFENSE,GAS STATION,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,BATTERY,"SCHOOL, PUBLIC, GROUNDS",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,TAXICAB,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ASSAULT,MEDICAL/DENTAL OFFICE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,4,THEFT,RESIDENCE PORCH/HALLWAY,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,DECEPTIVE PRACTICE,BAR OR TAVERN,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,RESIDENTIAL YARD (FRONT/BACK),17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,OFFENSE INVOLVING CHILDREN,APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,COMMERCIAL / BUSINESS OFFICE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ASSAULT,BAR OR TAVERN,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,16,MOTOR VEHICLE THEFT,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,BATTERY,CTA STATION,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,STALKING,RESTAURANT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,BATTERY,"SCHOOL, PRIVATE, BUILDING",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,14,NARCOTICS,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,THEFT,HOTEL/MOTEL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,7,THEFT,APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,INTIMIDATION,RESIDENCE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ROBBERY,PARKING LOT/GARAGE(NON.RESID.),17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,PUBLIC PEACE VIOLATION,"SCHOOL, PUBLIC, BUILDING",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,ASSAULT,PARKING LOT/GARAGE(NON.RESID.),17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,THEFT,CTA BUS,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,DECEPTIVE PRACTICE,CURRENCY EXCHANGE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,4,NARCOTICS,APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
