stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725340,14819,2015,01,05,4.5,24,-5.8,24,1036.3,23,1011.3,24,10.0,24,11.3,24,15.0,25.1,14.0,*,-0.9,*,0.03,G,1.2,0,0,0,0,0,0
725340,14819,2015,01,07,5.4,24,-6.8,24,1035.8,24,1010.5,24,10.0,24,15.4,24,21.0,28.9,12.0,,1.0,,0.0,G,2.0,0,0,1,0,0,0
725340,14819,2015,01,10,8.0,24,-1.7,24,1031.8,24,1006.6,24,10.0,24,11.6,24,15.9,22.0,21.0,,0.0,,0.0,G,2.0,0,0,0,0,0,0
725340,14819,2015,01,11,27.7,24,16.7,24,1026.4,22,1002.1,24,9.2,24,10.0,23,14.0,999.9,34.0,*,21.9,*,0.0,G,3.1,0,0,1,0,0,0
725340,14819,2015,01,25,34.1,24,30.2,24,1007.8,16,984.6,24,6.4,24,10.3,24,20.0,27.0,37.0,*,28.4,*,0.0,G,1.2,0,1,1,0,0,0
725340,14819,2015,01,27,29.3,24,22.5,24,1019.7,17,994.7,24,5.8,24,6.1,24,11.1,999.9,33.1,,21.0,,0.04,G,1.2,0,1,1,0,0,0
725340,14819,2015,01,30,29.7,24,13.3,24,1030.9,23,1006.9,24,9.8,24,9.2,24,18.1,22.9,39.0,,23.0,,0.0,G,999.9,0,0,1,0,0,0
725340,14819,2015,02,05,11.4,24,0.2,24,1032.0,24,1007.1,24,10.0,24,7.1,24,13.0,18.1,30.0,,3.0,,0.0,G,15.0,0,0,0,0,0,0
725340,14819,2015,02,11,32.6,24,24.3,24,1017.9,22,994.2,24,8.9,24,10.0,24,15.9,21.0,37.9,,25.0,,0.0,G,3.1,0,0,1,0,0,0
725340,14819,2015,02,13,14.5,24,3.9,24,1027.7,24,1003.0,24,10.0,24,8.4,24,14.0,999.9,25.0,,7.0,,0.0,G,3.1,0,0,1,0,0,0
725340,14819,2015,02,23,7.7,24,-9.3,24,1039.9,24,1014.8,24,10.0,24,9.8,24,15.0,21.0,30.0,,0.0,,0.0,G,3.1,0,0,0,0,0,0
725340,14819,2015,02,25,24.1,24,9.9,24,1014.2,23,990.4,24,8.9,24,7.9,24,14.0,18.1,32.0,,6.1,,0.0,G,3.1,0,0,1,0,0,0
725340,14819,2015,03,02,23.8,24,12.4,24,1032.1,23,1007.6,24,10.0,24,6.6,24,12.0,999.9,34.0,,16.0,,0.01,G,5.1,0,0,0,0,0,0
725340,14819,2015,03,13,50.6,24,31.5,24,1023.5,24,1000.6,24,10.0,24,6.3,24,9.9,999.9,64.9,,33.1,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,03,17,44.1,24,25.4,24,1022.2,22,998.8,24,10.0,24,15.0,24,24.1,34.0,73.9,,36.0,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,03,21,43.0,24,34.9,24,1019.4,22,996.2,24,8.1,24,11.4,24,17.1,19.0,52.0,,37.9,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,03,23,31.4,24,25.2,24,1025.7,16,1001.9,24,6.6,24,11.5,24,17.1,19.0,37.0,,30.0,,0.07,G,3.1,1,0,1,0,0,0
725340,14819,2015,03,26,39.7,24,28.4,24,1016.2,18,993.2,24,9.7,24,8.1,24,13.0,19.0,46.0,,35.1,,0.13,G,999.9,0,0,0,0,0,0
725340,14819,2015,03,29,34.9,24,19.8,24,1019.9,24,996.3,24,10.0,24,12.4,24,22.0,28.0,48.9,,21.0,,0.0,G,999.9,0,1,0,0,0,0
725340,14819,2015,04,03,52.0,24,31.8,24,1012.6,24,990.2,24,10.0,24,8.9,24,17.1,22.0,68.0,,39.0,,0.25,G,999.9,0,0,0,0,0,0
725340,14819,2015,04,05,56.3,24,23.8,24,1018.3,24,995.8,24,10.0,24,10.3,24,15.9,24.1,68.0,*,48.0,*,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,04,07,43.6,24,39.0,24,1018.1,12,995.1,24,5.1,24,10.5,24,15.0,999.9,46.9,*,41.0,*,0.11,G,999.9,0,1,0,0,0,0
725340,14819,2015,04,14,58.2,24,24.9,24,1023.0,24,1000.6,24,10.0,24,5.1,24,8.9,999.9,69.1,,46.0,,0.03,G,999.9,0,0,0,0,0,0
725340,14819,2015,04,21,47.6,24,29.3,24,1003.5,24,981.0,24,10.0,24,16.2,24,27.0,38.1,57.9,,41.0,,0.0,G,999.9,0,1,0,0,0,0
725340,14819,2015,04,25,45.9,24,39.3,24,1010.2,21,987.4,24,8.8,24,13.1,24,21.0,28.0,60.1,,35.1,,0.29,G,999.9,0,1,0,0,0,0
725340,14819,2015,04,27,49.1,24,31.6,24,1018.9,24,996.2,24,10.0,24,11.9,24,18.1,24.1,57.0,,39.0,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,04,28,49.1,24,34.3,24,1020.1,24,997.3,24,10.0,24,5.4,24,12.0,18.1,60.1,,37.9,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,04,30,48.0,24,34.8,24,1014.5,20,992.2,24,10.0,24,12.1,24,20.0,24.1,64.0,,42.1,,0.0,G,999.9,0,1,0,0,0,0
725340,14819,2015,05,06,60.1,24,53.5,24,1021.2,20,998.8,24,3.6,24,5.4,24,9.9,999.9,82.0,,51.1,,0.01,G,999.9,1,0,0,0,0,0
725340,14819,2015,05,07,71.2,24,52.9,24,1016.3,24,994.5,24,9.9,24,7.8,24,19.0,28.0,87.1,,51.1,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,05,09,60.4,24,56.3,24,1016.4,14,994.4,24,6.3,24,7.2,24,15.9,999.9,68.0,*,51.8,*,0.59,G,999.9,0,1,0,0,0,0
725340,14819,2015,05,23,65.7,24,37.6,24,1025.2,24,1003.0,24,10.0,24,6.7,24,11.1,19.0,82.9,,50.0,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,06,06,62.4,24,51.4,24,1020.0,21,997.8,24,9.9,24,9.6,24,14.0,19.0,73.0,,54.0,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,06,18,74.5,24,67.1,24,1013.2,16,991.6,24,7.1,24,7.8,24,22.0,28.9,82.0,,57.9,,0.33,G,999.9,1,1,0,0,1,0
725340,14819,2015,06,20,67.4,24,57.1,24,1011.5,22,989.8,24,10.0,24,5.9,24,14.0,19.0,82.0,,57.0,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,06,24,72.3,24,57.4,24,1019.1,24,997.4,24,10.0,24,5.0,24,9.9,15.9,81.0,,66.0,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,06,27,66.5,24,54.0,24,1014.4,24,992.5,24,9.7,24,9.2,24,14.0,20.0,77.0,,59.0,,0.7,G,999.9,0,1,0,0,0,0
725340,14819,2015,06,28,70.0,24,51.7,24,1012.1,24,990.4,24,10.0,24,5.0,24,14.0,25.1,81.0,,57.9,,0.0,G,999.9,0,1,0,0,0,0
725340,14819,2015,06,29,70.6,24,63.0,24,1008.6,18,987.1,24,9.3,24,4.4,24,8.0,999.9,81.0,,57.9,,0.02,G,999.9,0,1,0,0,0,0
725340,14819,2015,06,30,70.7,24,62.3,24,1008.4,21,986.8,24,8.5,24,6.6,24,15.0,999.9,80.1,,64.9,,0.06,G,999.9,0,0,0,0,0,0
725340,14819,2015,07,09,66.3,24,57.4,24,1014.2,20,992.3,24,5.9,24,7.2,24,11.1,999.9,73.9,,59.0,,0.04,G,999.9,0,1,0,0,0,0
725340,14819,2015,07,11,73.7,24,57.2,24,1019.1,24,997.5,24,10.0,24,3.7,24,8.9,999.9,82.0,,63.0,,0.0,G,999.9,0,1,0,0,0,0
725340,14819,2015,07,20,77.6,24,61.5,24,1009.2,24,988.0,24,10.0,24,5.8,24,12.0,18.1,89.1,,68.0,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,07,23,77.7,24,56.0,24,1014.7,24,993.2,24,10.0,24,4.1,24,9.9,999.9,86.0,,66.9,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,07,24,79.2,24,59.2,24,1014.9,24,993.6,24,10.0,24,6.0,24,15.0,24.1,87.1,,66.9,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,07,27,80.3,24,64.2,24,1014.0,24,992.7,24,9.5,24,6.8,24,14.0,18.1,90.0,,71.1,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,07,28,82.9,24,66.1,24,1013.8,23,992.4,24,10.0,24,6.8,24,14.0,999.9,93.9,,71.1,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,08,08,78.1,24,62.0,24,1011.4,23,990.2,24,10.0,24,6.5,24,8.9,999.9,84.9,,68.0,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,08,09,74.6,24,65.5,24,1013.6,21,992.1,24,7.2,24,4.3,24,8.9,999.9,84.9,,70.0,,0.0,G,999.9,0,1,0,0,0,0
725340,14819,2015,08,12,72.7,24,57.4,24,1019.7,24,998.0,24,10.0,24,4.4,24,8.9,17.1,82.0,,64.9,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,08,14,79.4,24,65.9,24,1017.6,24,996.2,24,10.0,24,8.3,24,11.1,999.9,90.0,,66.9,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,08,22,75.3,24,55.5,24,1017.6,24,996.1,24,10.0,24,7.8,24,15.0,25.1,84.0,,60.1,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,08,27,65.5,24,52.8,24,1021.3,24,999.2,24,9.9,24,3.8,24,9.9,999.9,75.0,,55.9,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,09,01,80.8,24,69.8,24,1015.8,24,994.6,24,9.6,24,6.6,24,14.0,20.0,89.1,,64.9,,0.0,G,999.9,0,0,0,0,0,0
725340,14819,2015,09,05,76.9,24,66.5,24,1017.4,24,996.0,24,9.9,24,6.2,24,11.1,999.9,87.1,,72.0,,0.0,G,999.9,0,1,0,0,1,0
725340,14819,2015,09,13,60.3,24,44.0,24,1016.6,24,994.4,24,10.0,24,6.8,24,12.0,15.0,71.1,,50.0,,0.13,G,999.9,0,0,0,0,0,0
