"","Oct","Nov","Dec","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Jan","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_CRIME"
"1",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,28.4,17.4,5.1,-0.624259933111743
"2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,34.3,28.9,4.9,-0.962359896884978
"3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2015,30.6,27.5,9.2,-2.77457570270952
"4",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2015,4.5,-5.8,11.3,-2.65285971575116
"5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,9.2,1.6,8,-2.90981568821882
"6",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,10.3,0.7,15,-1.74675181283889
"7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,8,-1.7,11.6,-0.975883895435908
"8",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2015,27.7,16.7,10,-0.948835898334049
"9",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2015,26.3,19.8,8.7,-1.51684383747308
"10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,19.3,10.8,9.1,-1.44922384471844
"11",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,13.5,6.3,5.3,-0.597211936009884
"12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2015,23.5,15.9,9.1,0.592899936471905
"13",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,29.3,23.2,6,-0.123871986727354
"14",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,36.8,28.6,12.1,0.295371968351458
"15",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2015,38.7,30.6,10.9,-0.286159969338507
"16",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2015,34,28.6,4.5,-0.150919983829213
"17",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,36.6,32.2,4.3,0.998619892999788
"18",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,34.2,30,7.2,0.349467962555176
"19",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2015,32.2,23.8,4.8,0.444135952411682
"20",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,31.7,24.3,10.2,1.09328788285629
"21",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,35.1,27.7,8.5,0.498231946615399
"22",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2015,34.1,30.2,10.3,-0.989407893986837
"23",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2015,25.9,18.1,7.3,-0.854167908477543
"24",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,29.3,22.5,6.1,-0.597211936009884
"25",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,28.7,18.5,6.8,-0.989407893986837
"26",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2015,36.1,26.1,12.7,-0.21853997658386
"27",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,29.7,13.3,9.2,-0.0697759925236365
"28",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,30.3,20.6,6.5,-1.12464787949613
"29",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,31.8,28.6,11.2,-2.12542377226491
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,16.7,10,7.5,-2.81514769836231
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,25.4,19.8,6.4,-1.92256379400097
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,11.4,0.2,7.1,-1.99018378675561
"33",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,20.2,10.6,9.4,-0.313207966440366
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,33.6,27.1,7.2,-0.543115941806166
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,38.5,34.5,7.8,-1.40865184906565
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,29.3,24.6,13.4,-1.51684383747308
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,28.4,19.1,7.1,-1.21931586935264
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,32.6,24.3,10,-1.53036783602401
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,18.3,4.6,13.8,-1.4762718418203
"40",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,14.5,3.9,8.4,-1.17874387369985
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,21.1,8.7,15.9,-1.65208382298238
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,7.3,-4.4,9.4,-2.2606637577742
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,12.8,-4.8,4.2,-2.46352373603814
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,18.2,7.3,9.1,-1.65208382298238
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,9.6,-2.8,12.8,-2.81514769836231
"46",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,7,-5,8.8,-0.92178790123219
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,23.4,13.5,6.3,-0.908263902681261
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,24.3,11.9,8.7,-1.7061798171861
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,7.7,-9.3,9.8,-1.99018378675561
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,13.9,2.1,12.6,-1.23283986790357
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,24.1,9.9,7.9,-2.00370778530654
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,20.2,12.3,11.5,-2.73400370705673
"53",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,10,-3.5,6.7,-1.09759988239427
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,11,-1.6,4.6,-2.35533174763071
"55",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,22,15.9,5.1,0.498231946615399
"56",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,23.8,12.4,6.6,-0.827119911375684
"57",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,30.7,22.9,10.6,-1.12464787949613
"58",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,26.6,14.8,10.4,-2.12542377226491
"59",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,15.2,-2.2,8.9,-1.44922384471844
"60",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,14.7,3.4,10.4,-0.0968239896254954
"61",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,34.1,23.6,10.6,-0.299683967889437
"62",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,37.1,28.2,6.7,-1.27341186355636
"63",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,40,27.1,4.7,0.0925119900875166
"64",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,43.9,38.1,6.2,0.457659950962611
"65",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,44.7,34.4,6.5,0.362991961106105
"66",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,44.9,27.7,6.5,0.430611953860752
"67",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,50.6,31.5,6.3,1.28262386256931
"68",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,52.5,38.6,8.2,1.06623988575444
"69",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,47.6,33.3,6.7,0.795759914735847
"70",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,61.3,39,11.7,0.809283913286776
"71",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,44.1,25.4,15,-0.367303960644084
"72",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,38.8,14.2,4.3,-0.394351957745943
"73",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,44.4,16.9,7.4,-0.0292039968708482
"74",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,44,33.1,7.8,0.755187919083058
"75",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,43,34.9,11.4,-0.407875956296872
"76",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,34.8,22.1,10,-0.854167908477543
"77",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,31.4,25.2,11.5,-1.71970381573703
"78",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,32.4,21.6,9.1,-1.08407588384334
"79",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,40.7,34.3,11,0.0519399944347283
"80",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,39.7,28.4,8.1,-0.475495949051519
"81",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,30.8,16.8,12.1,0.0789879915365871
