"","Oct","Nov","Dec","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Jan","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_CRIME"
"1",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,28.4,17.4,5.1,0.792697290930506
"2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,34.3,28.9,4.9,0.763250883392226
"3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2015,30.6,27.5,9.2,0.605418138987044
"4",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2015,4.5,-5.8,11.3,0.616018845700825
"5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,9.2,1.6,8,0.593639575971731
"6",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,10.3,0.7,15,0.694935217903416
"7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,8,-1.7,11.6,0.762073027090695
"8",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2015,27.7,16.7,10,0.764428739693757
"9",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2015,26.3,19.8,8.7,0.714958775029446
"10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,19.3,10.8,9.1,0.720848056537102
"11",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,13.5,6.3,5.3,0.795053003533569
"12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2015,23.5,15.9,9.1,0.898704358068316
"13",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,29.3,23.2,6,0.836277974087161
"14",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,36.8,28.6,12.1,0.872791519434629
"15",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2015,38.7,30.6,10.9,0.822143698468787
"16",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2015,34,28.6,4.5,0.833922261484099
"17",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,36.6,32.2,4.3,0.934040047114252
"18",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,34.2,30,7.2,0.877502944640754
"19",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2015,32.2,23.8,4.8,0.885747938751472
"20",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,31.7,24.3,10.2,0.942285041224971
"21",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,35.1,27.7,8.5,0.890459363957597
