"","day","temp","dewp","wdsp","NUM_CRIME"
"2",5,28.4,17.4,5.1,-0.624259933111743
"3",6,34.3,28.9,4.9,-0.962359896884978
"4",7,30.6,27.5,9.2,-2.77457570270952
"5",1,4.5,-5.8,11.3,-2.65285971575116
"6",2,9.2,1.6,8,-2.90981568821882
"9",5,10.3,0.7,15,-1.74675181283889
"10",6,8,-1.7,11.6,-0.975883895435908
"11",7,27.7,16.7,10,-0.948835898334049
"12",1,26.3,19.8,8.7,-1.51684383747308
"13",2,19.3,10.8,9.1,-1.44922384471844
"14",3,13.5,6.3,5.3,-0.597211936009884
"15",4,23.5,15.9,9.1,0.592899936471905
"16",5,29.3,23.2,6,-0.123871986727354
"17",6,36.8,28.6,12.1,0.295371968351458
"18",7,38.7,30.6,10.9,-0.286159969338507
"19",1,34,28.6,4.5,-0.150919983829213
"20",2,36.6,32.2,4.3,0.998619892999788
"21",3,34.2,30,7.2,0.349467962555176
"22",4,32.2,23.8,4.8,0.444135952411682
"23",5,31.7,24.3,10.2,1.09328788285629
"24",6,35.1,27.7,8.5,0.498231946615399
"25",7,34.1,30.2,10.3,-0.989407893986837
"26",1,25.9,18.1,7.3,-0.854167908477543
"27",2,29.3,22.5,6.1,-0.597211936009884
"28",3,28.7,18.5,6.8,-0.989407893986837
"29",4,36.1,26.1,12.7,-0.21853997658386
"30",5,29.7,13.3,9.2,-0.0697759925236365
"31",6,30.3,20.6,6.5,-1.12464787949613
"32",7,31.8,28.6,11.2,-2.12542377226491
"34",2,16.7,10,7.5,-2.81514769836231
"35",3,25.4,19.8,6.4,-1.92256379400097
"36",4,11.4,0.2,7.1,-1.99018378675561
"37",5,20.2,10.6,9.4,-0.313207966440366
"38",6,33.6,27.1,7.2,-0.543115941806166
"39",7,38.5,34.5,7.8,-1.40865184906565
"40",1,29.3,24.6,13.4,-1.51684383747308
"41",2,28.4,19.1,7.1,-1.21931586935264
"42",3,32.6,24.3,10,-1.53036783602401
"43",4,18.3,4.6,13.8,-1.4762718418203
"44",5,14.5,3.9,8.4,-1.17874387369985
"45",6,21.1,8.7,15.9,-1.65208382298238
"46",7,7.3,-4.4,9.4,-2.2606637577742
"47",1,12.8,-4.8,4.2,-2.46352373603814
"48",2,18.2,7.3,9.1,-1.65208382298238
"49",3,9.6,-2.8,12.8,-2.81514769836231
"51",5,7,-5,8.8,-0.92178790123219
"52",6,23.4,13.5,6.3,-0.908263902681261
"53",7,24.3,11.9,8.7,-1.7061798171861
"54",1,7.7,-9.3,9.8,-1.99018378675561
"55",2,13.9,2.1,12.6,-1.23283986790357
"56",3,24.1,9.9,7.9,-2.00370778530654
"57",4,20.2,12.3,11.5,-2.73400370705673
"58",5,10,-3.5,6.7,-1.09759988239427
"59",6,11,-1.6,4.6,-2.35533174763071
"60",7,22,15.9,5.1,0.498231946615399
"61",1,23.8,12.4,6.6,-0.827119911375684
"62",2,30.7,22.9,10.6,-1.12464787949613
"63",3,26.6,14.8,10.4,-2.12542377226491
"64",4,15.2,-2.2,8.9,-1.44922384471844
"65",5,14.7,3.4,10.4,-0.0968239896254954
"66",6,34.1,23.6,10.6,-0.299683967889437
"67",7,37.1,28.2,6.7,-1.27341186355636
"68",1,40,27.1,4.7,0.0925119900875166
"69",2,43.9,38.1,6.2,0.457659950962611
"70",3,44.7,34.4,6.5,0.362991961106105
"71",4,44.9,27.7,6.5,0.430611953860752
"72",5,50.6,31.5,6.3,1.28262386256931
"73",6,52.5,38.6,8.2,1.06623988575444
"74",7,47.6,33.3,6.7,0.795759914735847
"75",1,61.3,39,11.7,0.809283913286776
"76",2,44.1,25.4,15,-0.367303960644084
"77",3,38.8,14.2,4.3,-0.394351957745943
"78",4,44.4,16.9,7.4,-0.0292039968708482
"79",5,44,33.1,7.8,0.755187919083058
"80",6,43,34.9,11.4,-0.407875956296872
"81",7,34.8,22.1,10,-0.854167908477543
"82",1,31.4,25.2,11.5,-1.71970381573703
"83",2,32.4,21.6,9.1,-1.08407588384334
"84",3,40.7,34.3,11,0.0519399944347283
"85",4,39.7,28.4,8.1,-0.475495949051519
"86",5,30.8,16.8,12.1,0.0789879915365871
"87",6,29.2,10.7,6.2,-0.840643909926614
"88",7,34.9,19.8,12.4,-1.35455585486193
"89",1,49.1,31,9,-0.00215599976898939
"90",2,50.1,35.7,9.4,-0.353779962093154
"92",4,60.6,43.2,11,1.01214389155072
"93",5,52,31.8,8.9,-0.123871986727354
