"","day","temp","dewp","wdsp","NUM_CRIME"
"2",5,28.4,17.4,5.1,0.792697290930506
"3",6,34.3,28.9,4.9,0.763250883392226
"4",7,30.6,27.5,9.2,0.605418138987044
"5",1,4.5,-5.8,11.3,0.616018845700825
"6",2,9.2,1.6,8,0.593639575971731
"9",5,10.3,0.7,15,0.694935217903416
"10",6,8,-1.7,11.6,0.762073027090695
"11",7,27.7,16.7,10,0.764428739693757
"12",1,26.3,19.8,8.7,0.714958775029446
"13",2,19.3,10.8,9.1,0.720848056537102
"14",3,13.5,6.3,5.3,0.795053003533569
"15",4,23.5,15.9,9.1,0.898704358068316
"16",5,29.3,23.2,6,0.836277974087161
"17",6,36.8,28.6,12.1,0.872791519434629
"18",7,38.7,30.6,10.9,0.822143698468787
"19",1,34,28.6,4.5,0.833922261484099
"20",2,36.6,32.2,4.3,0.934040047114252
"21",3,34.2,30,7.2,0.877502944640754
"22",4,32.2,23.8,4.8,0.885747938751472
"23",5,31.7,24.3,10.2,0.942285041224971
"24",6,35.1,27.7,8.5,0.890459363957597
"25",7,34.1,30.2,10.3,0.760895170789164
"26",1,25.9,18.1,7.3,0.772673733804476
"27",2,29.3,22.5,6.1,0.795053003533569
"28",3,28.7,18.5,6.8,0.760895170789164
"29",4,36.1,26.1,12.7,0.828032979976443
"30",5,29.7,13.3,9.2,0.840989399293286
"31",6,30.3,20.6,6.5,0.749116607773852
"32",7,31.8,28.6,11.2,0.661955241460542
"34",2,16.7,10,7.5,0.60188457008245
"35",3,25.4,19.8,6.4,0.67962308598351
"36",4,11.4,0.2,7.1,0.673733804475854
"37",5,20.2,10.6,9.4,0.819787985865724
"38",6,33.6,27.1,7.2,0.799764428739694
"39",7,38.5,34.5,7.8,0.724381625441696
"40",1,29.3,24.6,13.4,0.714958775029446
"41",2,28.4,19.1,7.1,0.740871613663133
"42",3,32.6,24.3,10,0.713780918727915
"43",4,18.3,4.6,13.8,0.71849234393404
"44",5,14.5,3.9,8.4,0.744405182567727
"45",6,21.1,8.7,15.9,0.703180212014134
"46",7,7.3,-4.4,9.4,0.65017667844523
"47",1,12.8,-4.8,4.2,0.632508833922262
"48",2,18.2,7.3,9.1,0.703180212014134
"49",3,9.6,-2.8,12.8,0.60188457008245
"51",5,7,-5,8.8,0.76678445229682
"52",6,23.4,13.5,6.3,0.767962308598351
"53",7,24.3,11.9,8.7,0.698468786808009
"54",1,7.7,-9.3,9.8,0.673733804475854
"55",2,13.9,2.1,12.6,0.739693757361602
"56",3,24.1,9.9,7.9,0.672555948174323
"57",4,20.2,12.3,11.5,0.608951707891637
"58",5,10,-3.5,6.7,0.751472320376914
"59",6,11,-1.6,4.6,0.641931684334511
"60",7,22,15.9,5.1,0.890459363957597
"61",1,23.8,12.4,6.6,0.775029446407538
"62",2,30.7,22.9,10.6,0.749116607773852
"63",3,26.6,14.8,10.4,0.661955241460542
"64",4,15.2,-2.2,8.9,0.720848056537102
"65",5,14.7,3.4,10.4,0.838633686690224
"66",6,34.1,23.6,10.6,0.820965842167256
"67",7,37.1,28.2,6.7,0.736160188457008
"68",1,40,27.1,4.7,0.855123674911661
"69",2,43.9,38.1,6.2,0.886925795053004
"70",3,44.7,34.4,6.5,0.878680800942285
"71",4,44.9,27.7,6.5,0.884570082449941
"72",5,50.6,31.5,6.3,0.958775029446408
"73",6,52.5,38.6,8.2,0.939929328621908
"74",7,47.6,33.3,6.7,0.916372202591284
"75",1,61.3,39,11.7,0.917550058892815
"76",2,44.1,25.4,15,0.8150765606596
"77",3,38.8,14.2,4.3,0.812720848056537
"78",4,44.4,16.9,7.4,0.84452296819788
"79",5,44,33.1,7.8,0.91283863368669
"80",6,43,34.9,11.4,0.811542991755006
"81",7,34.8,22.1,10,0.772673733804476
"82",1,31.4,25.2,11.5,0.697290930506478
"83",2,32.4,21.6,9.1,0.752650176678445
"84",3,40.7,34.3,11,0.851590106007067
"85",4,39.7,28.4,8.1,0.80565371024735
"86",5,30.8,16.8,12.1,0.85394581861013
"87",6,29.2,10.7,6.2,0.773851590106007
"88",7,34.9,19.8,12.4,0.729093050647821
"89",1,49.1,31,9,0.846878680800942
"90",2,50.1,35.7,9.4,0.816254416961131
"92",4,60.6,43.2,11,0.935217903415783
"93",5,52,31.8,8.9,0.836277974087161
"94",6,42.9,24.1,10.7,0.817432273262662
"95",7,56.3,23.8,10.3,0.792697290930506
"96",1,55,33.2,6.3,0.7962308598351
"97",2,43.6,39,10.5,0.710247349823322
"98",3,47.2,44.2,7.6,0.799764428739694
"99",4,54.6,51.3,9.1,0.763250883392226
"100",5,54.5,41.6,19.2,0.840989399293286
"101",6,50.5,33.7,7.2,0.848056537102474
"102",7,58.8,32.1,8,0.910482921083628
"103",1,63.3,40.4,10.5,0.865724381625442
"104",2,58.2,24.9,5.1,0.90341578327444
"105",3,56,26.8,9.6,0.939929328621908
"106",4,54.8,37.9,7.1,0.808009422850412
